_id,DATE,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS
191,2020-04-29T00:00:00,Not Hispanic or Latino,2144,345,36
192,2020-04-29T00:00:00,Unknown,3184,212,6
193,2020-04-30T00:00:00,Hispanic or Latino,298,111,0
194,2020-04-30T00:00:00,Not Hispanic or Latino,1337,442,37
195,2020-04-30T00:00:00,Unknown,4182,232,8
196,2020-05-01T00:00:00,Hispanic or Latino,262,61,0
197,2020-05-01T00:00:00,Not Hispanic or Latino,2026,397,29
198,2020-05-01T00:00:00,Unknown,4445,192,8
199,2020-05-02T00:00:00,Hispanic or Latino,203,125,1
200,2020-05-02T00:00:00,Not Hispanic or Latino,1138,323,33
201,2020-05-02T00:00:00,Unknown,1993,185,10
202,2020-05-03T00:00:00,Hispanic or Latino,310,121,0
203,2020-05-03T00:00:00,Not Hispanic or Latino,539,259,29
204,2020-05-03T00:00:00,Unknown,996,183,8
205,2020-05-04T00:00:00,Hispanic or Latino,152,141,0
206,2020-05-04T00:00:00,Not Hispanic or Latino,1686,272,33
207,2020-05-04T00:00:00,Unknown,4047,110,7
208,2020-05-05T00:00:00,Hispanic or Latino,347,239,2
209,2020-05-05T00:00:00,Not Hispanic or Latino,2106,339,25
210,2020-05-05T00:00:00,Unknown,4098,253,10
211,2020-05-06T00:00:00,Hispanic or Latino,169,143,2
212,2020-05-06T00:00:00,Not Hispanic or Latino,2201,329,29
213,2020-05-06T00:00:00,Unknown,3647,145,11
214,2020-05-07T00:00:00,Hispanic or Latino,226,147,4
215,2020-05-07T00:00:00,Not Hispanic or Latino,2146,298,29
216,2020-05-07T00:00:00,Unknown,4290,182,4
217,2020-05-08T00:00:00,Hispanic or Latino,230,105,1
218,2020-05-08T00:00:00,Not Hispanic or Latino,1966,303,16
219,2020-05-08T00:00:00,Unknown,4550,177,11
220,2020-05-09T00:00:00,Hispanic or Latino,184,118,2
221,2020-05-09T00:00:00,Not Hispanic or Latino,1114,178,26
222,2020-05-09T00:00:00,Unknown,2050,89,6
223,2020-05-10T00:00:00,Hispanic or Latino,37,90,2
224,2020-05-10T00:00:00,Not Hispanic or Latino,435,233,26
225,2020-05-10T00:00:00,Unknown,849,133,5
226,2020-05-11T00:00:00,Hispanic or Latino,174,123,1
227,2020-05-11T00:00:00,Not Hispanic or Latino,2192,227,29
228,2020-05-11T00:00:00,Unknown,4804,153,11
229,2020-05-12T00:00:00,Hispanic or Latino,136,88,0
230,2020-05-12T00:00:00,Not Hispanic or Latino,1768,184,29
231,2020-05-12T00:00:00,Unknown,4911,101,10
232,2020-05-13T00:00:00,Hispanic or Latino,242,124,1
233,2020-05-13T00:00:00,Not Hispanic or Latino,2532,310,19
234,2020-05-13T00:00:00,Unknown,4357,164,7
235,2020-05-14T00:00:00,Hispanic or Latino,267,108,3
236,2020-05-14T00:00:00,Not Hispanic or Latino,3087,292,33
237,2020-05-14T00:00:00,Unknown,4490,181,8
238,2020-05-15T00:00:00,Hispanic or Latino,601,122,0
239,2020-05-15T00:00:00,Not Hispanic or Latino,3443,328,26
240,2020-05-15T00:00:00,Unknown,5480,185,7
241,2020-05-16T00:00:00,Hispanic or Latino,87,109,0
242,2020-05-16T00:00:00,Not Hispanic or Latino,1155,197,20
243,2020-05-16T00:00:00,Unknown,1901,182,10
244,2020-05-17T00:00:00,Hispanic or Latino,69,83,1
245,2020-05-17T00:00:00,Not Hispanic or Latino,731,176,16
246,2020-05-17T00:00:00,Unknown,1128,221,13
247,2020-05-18T00:00:00,Hispanic or Latino,273,72,3
248,2020-05-18T00:00:00,Not Hispanic or Latino,2960,163,28
249,2020-05-18T00:00:00,Unknown,5028,214,10
250,2020-05-19T00:00:00,Hispanic or Latino,220,117,0
251,2020-05-19T00:00:00,Not Hispanic or Latino,2372,195,24
252,2020-05-19T00:00:00,Unknown,4360,240,7
253,2020-05-20T00:00:00,Hispanic or Latino,250,102,1
254,2020-05-20T00:00:00,Not Hispanic or Latino,2154,230,22
255,2020-05-20T00:00:00,Unknown,4183,311,10
256,2020-05-21T00:00:00,Hispanic or Latino,364,59,0
257,2020-05-21T00:00:00,Not Hispanic or Latino,2579,177,30
258,2020-05-21T00:00:00,Unknown,4484,225,10
259,2020-05-22T00:00:00,Hispanic or Latino,324,68,2
